Pipeline1,Pipeline2,Pipeline3,Pipeline4,Machine1-Idle,Machine2-Idle,Machine3-Idle,Total
342.72584652900696,254.95964646339417,259.51259779930115,342.67786836624146,32.92584652900689,69.57584652900692,180.52584652900694,342.72584652900696
342.7903652191162,254.83868384361267,259.4134783744812,342.7434096336365,23.09036521911611,79.54036521911621,180.5903652191162,342.7903652191162
346.32529854774475,258.4060227870941,263.08580565452576,346.27939915657043,27.925298547744717,87.07529854774475,178.82529854774475,346.32529854774475
342.73830676078796,254.8406913280487,259.4739911556244,342.6916437149048,41.03830676078786,80.58830676078793,161.43830676078795,342.73830676078796
346.3307511806488,258.36158633232117,263.0978457927704,346.28479290008545,36.83075118064875,87.28075118064879,169.73075118064878,346.3307511806488
341.25639247894287,254.87350511550903,259.512868642807,341.1942355632782,34.556392478942826,84.4063924789429,159.65639247894288,341.25639247894287
342.6990089416504,256.1043691635132,260.8226716518402,342.65194725990295,20.89900894165038,95.8490089416504,166.1990089416504,342.6990089416504
342.85297870635986,254.9683232307434,259.56014370918274,342.8063020706177,26.45351037979117,96.30351037979128,160.65351037979124,342.85351037979126
342.68126678466797,254.6254596710205,259.333922624588,342.6347744464874,26.281266784667935,86.13126678466796,170.48126678466795,342.68126678466797
341.07044076919556,254.54787015914917,259.2786753177643,341.02438855171204,15.67044076919558,93.82044076919556,168.57044076919556,341.07044076919556
341.3047037124634,254.85233569145203,259.5568323135376,341.2584071159363,29.60470371246339,89.45470371246338,159.70470371246338,341.3047037124634
341.23124265670776,254.6853849887848,259.39359402656555,341.18516778945923,25.03178005218507,84.78178005218507,168.73178005218506,341.23178005218506
341.2241189479828,254.98866868019104,259.62985277175903,341.1776397228241,17.424118947982777,93.2741189479828,167.82411894798278,341.2241189479828
343.0081377029419,255.0459282398224,259.67844820022583,342.9611301422119,26.908137702941815,96.15813770294187,160.80813770294188,343.0081377029419
346.3438639640808,258.4065041542053,263.0419952869415,346.2972779273987,19.24386396408073,85.7938639640808,188.8438639640808,346.3438639640808
341.2340829372406,254.84569311141968,259.5270564556122,341.1866571903229,22.43408293724059,96.4840829372406,159.6340829372406,341.2340829372406
342.9463188648224,254.9949905872345,259.71149230003357,342.90005707740784,28.14631886482232,75.69631886482239,179.84631886482236,342.9463188648224
342.7536897659302,254.62237191200256,259.40127182006836,342.7013430595398,26.35368976593014,76.20368976593016,180.55368976593016,342.7536897659302
345.0078248977661,258.39952278137207,263.12003684043884,344.96097350120544,26.507824897766113,95.25782489776611,168.1078248977661,345.0078248977661
343.7374515533447,255.77086687088013,260.4510009288788,343.69084906578064,33.93745155334466,64.58745155334475,187.53745155334474,343.7374515533447
340.85101294517517,254.6993386745453,259.27734303474426,340.80441212654114,20.05101294517516,89.00101294517518,168.35101294517517,340.85101294517517
342.96137976646423,255.009605884552,259.61661100387573,342.91472721099854,28.161379766464165,75.71137976646423,179.8613797664642,342.96137976646423
